Dist Code,Year,State Code,State Name,Dist Name,Crop,Area_ha,Yield_kg_per_ha,Soil_Test_N_ppm,Soil_Test_P_ppm,Soil_Test_K_ppm,Soil_Nutrient_Index,Total_N_kg,Total_P_kg,Total_K_kg,Temperature_C,Humidity_%,pH,Rainfall_mm,Wind_Speed_m_s,Solar_Radiation_MJ_m2_day
1,1966,14,Chhattisgarh,Durg,rice,548000,304.6014414,34.86571516,7.545639544,184.1602112,0.341,4624983,2219991.84,4069985.04,25.99342831,86.70375758,6.5,1198.62985,2,18
1,1966,14,Chhattisgarh,Durg,maize,3000,708.7477001,33.90017149,8.986406698,108.4595727,0.323,54000.27,24000.12,34000.17,21.7234714,79.99501294,6,680.4249997,2.5,20
1,1966,14,Chhattisgarh,Durg,chickpea,54000,446.9277934,46.69498946,23.2204102,126.4679926,0.382,486000,270000,486000,21.29537708,60.30963067,6.5,600.8623625,1.5,16
1,1967,14,Chhattisgarh,Durg,rice,547000,872.5247825,35.98229136,6.992571955,97.50723969,0.267,10224934.25,4907968.44,8997942.14,28.04605971,78.62600292,6.5,1216.088302,2,18
1,1967,14,Chhattisgarh,Durg,maize,3000,918.2623994,22.51934626,2.445154588,14.19332437,0.139,81000,36000,51000,21.53169325,64.09936279,6,777.6437905,2.5,20
1,1967,14,Chhattisgarh,Durg,chickpea,52000,255.4442346,15.08239146,2.635402186,183.8260619,0.246,269998.56,149999.2,269998.56,19.53172609,54.16475331,6.5,508.7367301,1.5,16
1,1968,14,Chhattisgarh,Durg,rice,556300,935.4645869,8.982157986,1.312299332,223.2881562,0.286,11699962.53,5615982.012,10295967.02,28.15842563,81.16391069,6.5,1397.784171,2,18
1,1968,14,Chhattisgarh,Durg,maize,2800,726.5290575,18.69952178,18.84605495,52.90456746,0.211,54000.324,24000.144,34000.204,23.53486946,73.50374076,6,879.1153355,2.5,20
1,1968,14,Chhattisgarh,Durg,chickpea,51300,471.4661207,16.48505934,13.61118008,50.36436811,0.215,413997.156,229998.42,413997.156,19.06105123,52.56322508,6.5,662.8673977,1.5,16
1,1969,14,Chhattisgarh,Durg,rice,563400,791.3151124,33.77280851,8.006505209,108.1113175,0.265,10020069,4809633.12,8817660.72,26.08512009,84.1466847,6.5,1020.080923,2,18
1,1969,14,Chhattisgarh,Durg,maize,2700,735.2304018,15.36617819,45.16082567,147.8592005,0.475,62099.865,27599.94,39099.915,21.07316461,76.86138667,6,677.6718298,2.5,20
1,1969,14,Chhattisgarh,Durg,chickpea,52600,493.2681886,19.89664314,23.87424673,53.50182029,0.246,415796.688,230998.16,415796.688,19.06854049,63.15295104,6.5,446.7285992,1.5,16
1,1970,14,Chhattisgarh,Durg,rice,571600,886.1645211,13.57860775,9.05370546,51.72954611,0.167,11839979.5,5683190.16,10419181.96,25.48392454,88.26430917,6.5,1171.018151,2,18
1,1970,14,Chhattisgarh,Durg,maize,2500,1379.230333,25.0869387,22.70102445,157.9593176,0.366,89100,39600,56100,18.17343951,71.77734912,6,917.4582049,2.5,20
1,1970,14,Chhattisgarh,Durg,chickpea,53300,640.8786446,24.6349169,14.60527611,58.82314819,0.191,586797.822,325998.79,586797.822,16.55016433,61.82683385,6.5,580.2307394,1.5,16
1,1971,14,Chhattisgarh,Durg,rice,581800,789.3760603,10.89389171,11.5264703,194.794868,0.299,10322441.05,4954771.704,9083748.124,23.87542494,81.73131419,6.5,1167.49535,2,18
1,1971,14,Chhattisgarh,Durg,maize,2700,1076.776216,27.61010796,0.721165357,179.5653156,0.259,83700.135,37200.06,52700.085,19.97433776,76.79711534,6,633.8549161,2.5,20
1,1971,14,Chhattisgarh,Durg,chickpea,50300,609.7172844,17.45685445,10.41691373,175.521369,0.28,590402.286,328001.27,590402.286,20.62849467,62.68819725,6.5,630.1559125,1.5,16
1,1972,14,Chhattisgarh,Durg,rice,582200,639.5633389,46.69713235,20.93535129,73.41477001,0.352,9524937.55,4571970.024,8381945.044,23.18395185,77.35123132,6.5,1151.148502,2,18
1,1972,14,Chhattisgarh,Durg,maize,2800,1163.936961,16.03679673,17.69136458,198.6231582,0.359,86400.216,38400.096,54400.136,19.1753926,72.11715849,6,910.0203727,2.5,20
1,1972,14,Chhattisgarh,Durg,chickpea,52300,613.992046,18.01060586,11.35753966,71.54343512,0.203,586802.862,326001.59,586802.862,22.93129754,62.16723721,6.5,521.0309768,1.5,16
1,1973,14,Chhattisgarh,Durg,rice,600000,859.7291949,11.55479688,25.06354599,236.3254301,0.37,11797500,5662800,10381800,24.5484474,78.93833016,6.5,1181.618247,2,18
1,1973,14,Chhattisgarh,Durg,maize,2900,938.3439984,12.62413061,28.76865231,156.5470554,0.394,72899.649,32399.844,45899.779,22.13505641,75.11291628,6,740.7327896,2.5,20
1,1973,14,Chhattisgarh,Durg,chickpea,56400,620.3156127,21.41948253,18.42260096,247.564574,0.377,583201.944,324001.08,583201.944,17.15050363,60.45742948,6.5,564.1681704,1.5,16
1,1974,14,Chhattisgarh,Durg,rice,587400,400.0862334,22.17625101,28.6655649,16.80300719,0.321,5475008.55,2628004.104,4818007.524,23.91123455,83.5264351,6.5,1270.331503,2,18
1,1974,14,Chhattisgarh,Durg,maize,2900,844.2713859,29.24854258,18.64691843,128.7347588,0.312,78300,34800,49300,22.22184518,72.54880139,6,681.4025187,2.5,20
1,1974,14,Chhattisgarh,Durg,chickpea,54900,716.512127,21.92678572,6.106943789,114.8894716,0.218,737997.642,409998.69,737997.642,17.69801285,56.37113164,6.5,580.9382211,1.5,16
1,1975,14,Chhattisgarh,Durg,rice,598300,616.9349326,22.37686275,27.16059307,114.0811483,0.4,11350050.15,5448024.072,9988044.132,25.75139604,75.10224951,6.5,1195.311886,2,18
